# Jaccard Index Curves for Each Sawtooth Event
# shot_number,time_before,radius,jaccard_index
42359,207.00,50.384,0.747056
42359,207.00,50.536,0.689847
42359,207.00,50.688,0.634294
42359,207.00,50.840,0.581048
42359,207.00,50.992,0.530686
42359,207.00,51.144,0.483724
42359,207.00,51.296,0.440647
42359,207.00,51.448,0.401924
42359,207.00,51.600,0.367690
42359,207.00,51.752,0.337570
42359,207.00,51.904,0.311216
42359,207.00,52.056,0.288343
42359,207.00,52.208,0.268728
42359,207.00,52.360,0.252195
42359,207.00,52.512,0.238613
42359,207.00,52.664,0.227894
42359,207.00,52.816,0.219987
42359,207.00,52.968,0.214880
42359,207.00,53.120,0.212601
42359,207.00,53.272,0.213217
42359,207.00,53.424,0.216840
42359,207.00,53.576,0.223631
42359,207.00,53.728,0.233807
42359,207.00,53.880,0.247651
42359,207.00,54.032,0.265525
42359,207.00,54.184,0.287888
42359,207.00,54.336,0.315321
42359,207.00,54.488,0.348557
42359,207.00,54.640,0.388531
42359,207.00,54.792,0.436436
42359,207.00,54.944,0.493817
42359,207.00,55.096,0.562698
42359,207.00,55.248,0.645769
42359,207.00,55.400,0.746673
42359,207.00,55.552,0.870454
42359,207.00,55.704,0.976296
42359,207.00,55.856,0.820579
42359,207.00,56.008,0.680475
42359,207.00,56.160,0.554777
42359,207.00,56.312,0.442324
42359,207.00,56.464,0.341983
42359,207.00,56.616,0.252557
42359,207.00,56.768,0.172998
42359,207.00,56.920,0.102430
42359,207.00,57.072,0.040143
42359,207.00,57.224,0.000000
42359,207.00,57.376,0.000000
42359,207.00,57.528,0.000000
42359,207.00,57.680,0.000000
42359,207.00,57.832,0.000000
42359,207.00,57.984,0.000000
42359,207.00,58.136,0.000000
42359,207.00,58.288,0.000000
42359,207.00,58.440,0.000000
42359,207.00,58.592,0.000000
42359,207.00,58.744,0.000000
42359,207.00,58.896,0.019698
42359,207.00,59.048,0.173308
42359,207.00,59.200,0.453968
42379,175.70,28.800,0.434293
42379,175.70,28.952,0.494217
42379,175.70,29.104,0.557792
42379,175.70,29.256,0.625347
42379,175.70,29.408,0.697248
42379,175.70,29.560,0.773911
42379,175.70,29.712,0.855805
42379,175.70,29.864,0.943462
42379,175.70,30.016,0.963866
42379,175.70,30.168,0.878287
42379,175.70,30.320,0.801580
42379,175.70,30.472,0.732450
42379,175.70,30.624,0.669841
42379,175.70,30.776,0.612888
42379,175.70,30.928,0.560868
42379,175.70,31.080,0.513180
42379,175.70,31.232,0.469314
42379,175.70,31.384,0.428841
42379,175.70,31.536,0.391390
42379,175.70,31.688,0.356644
42379,175.70,31.840,0.324330
42379,175.70,31.992,0.294208
42379,175.70,32.144,0.266072
42379,175.70,32.296,0.239738
42379,175.70,32.448,0.215045
42379,175.70,32.600,0.191853
42379,175.70,32.752,0.170035
42379,175.70,32.904,0.149479
42379,175.70,33.056,0.130085
42379,175.70,33.208,0.111762
42379,175.70,33.360,0.094431
42379,175.70,33.512,0.078019
42379,175.70,33.664,0.062460
42379,175.70,33.816,0.047695
42379,175.70,33.968,0.033670
42379,175.70,34.120,0.020336
42379,175.70,34.272,0.007648
42379,175.70,34.424,0.000000
42379,175.70,34.576,0.000000
42379,175.70,34.728,0.000000
42379,175.70,34.880,0.000000
42379,175.70,35.032,0.000000
42379,175.70,35.184,0.000000
42379,175.70,35.336,0.000000
42379,175.70,35.488,0.000000
42379,175.70,35.640,0.000000
42379,175.70,35.792,0.000000
42379,175.70,35.944,0.000000
42379,175.70,36.096,0.000000
42379,175.70,36.248,0.000000
42379,175.70,36.400,0.000000
42379,175.70,36.552,0.000000
42379,175.70,36.704,0.000000
42379,175.70,36.856,0.000000
42379,175.70,37.008,0.000000
42379,175.70,37.160,0.000000
42379,175.70,37.312,0.000000
